end_of_interval	any
1994-09-01 00:00:00	423.982481290433
1994-10-01 00:00:00	441.721081450735
1994-11-01 00:00:00	444.021021667273
1994-12-01 00:00:00	442.574067870818
1995-01-01 00:00:00	446.245878258287
1995-02-01 00:00:00	449.329400493613
1995-03-01 00:00:00	439.013715081517
1995-04-01 00:00:00	410.114557711569
1995-05-01 00:00:00	375.355605106076
1995-06-01 00:00:00	355.545900864889
1995-07-01 00:00:00	362.805048340897
1995-08-01 00:00:00	392.119043441739
1995-09-01 00:00:00	423.982481290433
1995-10-01 00:00:00	441.721081450735
1995-11-01 00:00:00	444.021021667273
1995-12-01 00:00:00	442.574067870818
1996-01-01 00:00:00	446.245878258287
1996-02-01 00:00:00	449.329400493613
1996-03-01 00:00:00	439.013715081517
1996-04-01 00:00:00	410.114557711569
1996-05-01 00:00:00	375.355605106076
1996-06-01 00:00:00	355.545900864889
1996-07-01 00:00:00	362.805048340897
1996-08-01 00:00:00	392.119043441739
1996-09-01 00:00:00	423.982481290433
1996-10-01 00:00:00	441.721081450735
1996-11-01 00:00:00	444.021021667273
1996-12-01 00:00:00	442.574067870818
1997-01-01 00:00:00	446.245878258287
1997-02-01 00:00:00	449.329400493613
1997-03-01 00:00:00	439.013715081517
1997-04-01 00:00:00	410.114557711569
1997-05-01 00:00:00	375.355605106076
1997-06-01 00:00:00	355.545900864889
1997-07-01 00:00:00	362.805048340897
1997-08-01 00:00:00	392.119043441739
1997-09-01 00:00:00	423.982481290433
1997-10-01 00:00:00	441.721081450735
1997-11-01 00:00:00	444.021021667273
1997-12-01 00:00:00	442.574067870818
1998-01-01 00:00:00	446.245878258287
1998-02-01 00:00:00	449.329400493613
1998-03-01 00:00:00	439.013715081517
1998-04-01 00:00:00	410.114557711569
1998-05-01 00:00:00	375.355605106076
1998-06-01 00:00:00	355.545900864889
1998-07-01 00:00:00	362.805048340897
1998-08-01 00:00:00	392.119043441739
1998-09-01 00:00:00	423.982481290433
1998-10-01 00:00:00	441.721081450735
1998-11-01 00:00:00	444.021021667273
1998-12-01 00:00:00	442.574067870818
1999-01-01 00:00:00	446.245878258287
1999-02-01 00:00:00	449.329400493613
1999-03-01 00:00:00	439.013715081517
1999-04-01 00:00:00	410.114557711569
1999-05-01 00:00:00	375.355605106076
1999-06-01 00:00:00	355.545900864889
1999-07-01 00:00:00	362.805048340897
1999-08-01 00:00:00	392.119043441739
1999-09-01 00:00:00	423.982481290433
1999-10-01 00:00:00	441.721081450735
1999-11-01 00:00:00	444.021021667273
1999-12-01 00:00:00	442.574067870818
2000-01-01 00:00:00	446.245878258287
2000-02-01 00:00:00	449.329400493613
2000-03-01 00:00:00	439.013715081517
2000-04-01 00:00:00	410.114557711569
2000-05-01 00:00:00	375.355605106076
2000-06-01 00:00:00	355.545900864889
2000-07-01 00:00:00	362.805048340897
2000-08-01 00:00:00	392.119043441739
2000-09-01 00:00:00	423.982481290433
2000-10-01 00:00:00	441.721081450735
2000-11-01 00:00:00	444.021021667273
2000-12-01 00:00:00	442.574067870818
2001-01-01 00:00:00	446.245878258287
2001-02-01 00:00:00	449.329400493613
2001-03-01 00:00:00	439.013715081517
2001-04-01 00:00:00	410.114557711569
2001-05-01 00:00:00	375.355605106076
2001-06-01 00:00:00	355.545900864889
2001-07-01 00:00:00	362.805048340897
2001-08-01 00:00:00	392.119043441739
2001-09-01 00:00:00	423.982481290433
2001-10-01 00:00:00	441.721081450735
2001-11-01 00:00:00	444.021021667273
2001-12-01 00:00:00	442.574067870818
2002-01-01 00:00:00	446.245878258287
2002-02-01 00:00:00	449.329400493613
2002-03-01 00:00:00	439.013715081517
2002-04-01 00:00:00	410.114557711569
2002-05-01 00:00:00	375.355605106076
2002-06-01 00:00:00	355.545900864889
2002-07-01 00:00:00	362.805048340897
2002-08-01 00:00:00	392.119043441739
2002-09-01 00:00:00	423.982481290433
2002-10-01 00:00:00	441.721081450735
2002-11-01 00:00:00	444.021021667273
2002-12-01 00:00:00	442.574067870818
2003-01-01 00:00:00	446.245878258287
2003-02-01 00:00:00	449.329400493613
2003-03-01 00:00:00	439.013715081517
2003-04-01 00:00:00	410.114557711569
2003-05-01 00:00:00	375.355605106076
2003-06-01 00:00:00	355.545900864889
2003-07-01 00:00:00	362.805048340897
2003-08-01 00:00:00	392.119043441739
2003-09-01 00:00:00	423.982481290433
2003-10-01 00:00:00	441.721081450735
2003-11-01 00:00:00	444.021021667273
2003-12-01 00:00:00	442.574067870818
2004-01-01 00:00:00	446.245878258287
2004-02-01 00:00:00	449.329400493613
2004-03-01 00:00:00	439.013715081517
2004-04-01 00:00:00	410.114557711569
2004-05-01 00:00:00	375.355605106076
2004-06-01 00:00:00	355.545900864889
2004-07-01 00:00:00	362.805048340897
2004-08-01 00:00:00	392.119043441739
2004-09-01 00:00:00	423.982481290433
2004-10-01 00:00:00	441.721081450735
2004-11-01 00:00:00	444.021021667273
2004-12-01 00:00:00	442.574067870818
2005-01-01 00:00:00	446.245878258287
2005-02-01 00:00:00	449.329400493613
2005-03-01 00:00:00	439.013715081517
2005-04-01 00:00:00	410.114557711569
2005-05-01 00:00:00	375.355605106076
2005-06-01 00:00:00	355.545900864889
2005-07-01 00:00:00	362.805048340897
2005-08-01 00:00:00	392.119043441739
2005-09-01 00:00:00	423.982481290433
2005-10-01 00:00:00	441.721081450735
2005-11-01 00:00:00	444.021021667273
2005-12-01 00:00:00	442.574067870818
2006-01-01 00:00:00	446.245878258287
2006-02-01 00:00:00	449.329400493613
2006-03-01 00:00:00	439.013715081517
2006-04-01 00:00:00	410.114557711569
2006-05-01 00:00:00	375.355605106076
2006-06-01 00:00:00	355.545900864889
2006-07-01 00:00:00	362.805048340897
2006-08-01 00:00:00	392.119043441739
2006-09-01 00:00:00	423.982481290433
2006-10-01 00:00:00	441.721081450735
2006-11-01 00:00:00	444.021021667273
2006-12-01 00:00:00	442.574067870818
2007-01-01 00:00:00	446.245878258287
2007-02-01 00:00:00	449.329400493613
2007-03-01 00:00:00	439.013715081517
2007-04-01 00:00:00	410.114557711569
2007-05-01 00:00:00	375.355605106076
2007-06-01 00:00:00	355.545900864889
2007-07-01 00:00:00	362.805048340897
2007-08-01 00:00:00	392.119043441739
2007-09-01 00:00:00	423.982481290433
2007-10-01 00:00:00	441.721081450735
2007-11-01 00:00:00	444.021021667273
2007-12-01 00:00:00	442.574067870818
2008-01-01 00:00:00	446.245878258287
2008-02-01 00:00:00	449.329400493613
2008-03-01 00:00:00	439.013715081517
2008-04-01 00:00:00	410.114557711569
2008-05-01 00:00:00	375.355605106076
2008-06-01 00:00:00	355.545900864889
2008-07-01 00:00:00	362.805048340897
2008-08-01 00:00:00	392.119043441739
2008-09-01 00:00:00	423.982481290433
2008-10-01 00:00:00	441.721081450735
2008-11-01 00:00:00	444.021021667273
2008-12-01 00:00:00	442.574067870818
2009-01-01 00:00:00	446.245878258287
2009-02-01 00:00:00	449.329400493613
2009-03-01 00:00:00	439.013715081517
2009-04-01 00:00:00	410.114557711569
2009-05-01 00:00:00	375.355605106076
2009-06-01 00:00:00	355.545900864889
2009-07-01 00:00:00	362.805048340897
2009-08-01 00:00:00	392.119043441739
2009-09-01 00:00:00	423.982481290433
2009-10-01 00:00:00	441.721081450735
2009-11-01 00:00:00	444.021021667273
2009-12-01 00:00:00	442.574067870818
2010-01-01 00:00:00	446.245878258287
2010-02-01 00:00:00	449.329400493613
2010-03-01 00:00:00	439.013715081517
2010-04-01 00:00:00	410.114557711569
2010-05-01 00:00:00	375.355605106076
2010-06-01 00:00:00	355.545900864889
2010-07-01 00:00:00	362.805048340897
2010-08-01 00:00:00	392.119043441739
2010-09-01 00:00:00	423.982481290433
2010-10-01 00:00:00	441.721081450735
2010-11-01 00:00:00	444.021021667273
2010-12-01 00:00:00	442.574067870818
2011-01-01 00:00:00	446.245878258287
2011-02-01 00:00:00	449.329400493613
2011-03-01 00:00:00	439.013715081517
2011-04-01 00:00:00	410.114557711569
2011-05-01 00:00:00	375.355605106076
2011-06-01 00:00:00	355.545900864889
2011-07-01 00:00:00	362.805048340897
2011-08-01 00:00:00	392.119043441739
2011-09-01 00:00:00	423.982481290433
2011-10-01 00:00:00	441.721081450735
2011-11-01 00:00:00	444.021021667273
2011-12-01 00:00:00	442.574067870818
2012-01-01 00:00:00	446.245878258287
2012-02-01 00:00:00	449.329400493613
2012-03-01 00:00:00	439.013715081517
2012-04-01 00:00:00	410.114557711569
2012-05-01 00:00:00	375.355605106076
2012-06-01 00:00:00	355.545900864889
2012-07-01 00:00:00	362.805048340897
2012-08-01 00:00:00	392.119043441739
2012-09-01 00:00:00	423.982481290433
2012-10-01 00:00:00	441.721081450735
2012-11-01 00:00:00	444.021021667273
2012-12-01 00:00:00	442.574067870818
2013-01-01 00:00:00	446.245878258287
2013-02-01 00:00:00	449.329400493613
2013-03-01 00:00:00	439.013715081517
2013-04-01 00:00:00	410.114557711569
2013-05-01 00:00:00	375.355605106076
2013-06-01 00:00:00	355.545900864889
2013-07-01 00:00:00	362.805048340897
2013-08-01 00:00:00	392.119043441739
2013-09-01 00:00:00	423.982481290433
2013-10-01 00:00:00	441.721081450735
2013-11-01 00:00:00	444.021021667273
2013-12-01 00:00:00	442.574067870818
2014-01-01 00:00:00	446.245878258287
2014-02-01 00:00:00	449.329400493613
2014-03-01 00:00:00	439.013715081517
2014-04-01 00:00:00	410.114557711569
2014-05-01 00:00:00	375.355605106076
2014-06-01 00:00:00	355.545900864889
2014-07-01 00:00:00	362.805048340897
2014-08-01 00:00:00	392.119043441739
2014-09-01 00:00:00	423.982481290433
2014-10-01 00:00:00	441.721081450735
2014-11-01 00:00:00	444.021021667273
2014-12-01 00:00:00	442.574067870818
2015-01-01 00:00:00	446.245878258287
2015-02-01 00:00:00	449.329400493613
2015-03-01 00:00:00	439.013715081517
2015-04-01 00:00:00	410.114557711569
2015-05-01 00:00:00	375.355605106076
2015-06-01 00:00:00	355.545900864889
2015-07-01 00:00:00	362.805048340897
2015-08-01 00:00:00	392.119043441739
2015-09-01 00:00:00	423.982481290433
2015-10-01 00:00:00	441.721081450735
2015-11-01 00:00:00	444.021021667273
2015-12-01 00:00:00	442.574067870818
2016-01-01 00:00:00	446.245878258287
2016-02-01 00:00:00	449.329400493613
2016-03-01 00:00:00	439.013715081517
2016-04-01 00:00:00	410.114557711569
2016-05-01 00:00:00	375.355605106076
2016-06-01 00:00:00	355.545900864889
2016-07-01 00:00:00	362.805048340897
2016-08-01 00:00:00	392.119043441739
2016-09-01 00:00:00	423.982481290433
2016-10-01 00:00:00	441.721081450735
2016-11-01 00:00:00	444.021021667273
2016-12-01 00:00:00	442.574067870818
